Company Name,Title,Description,Location,Started On,Finished On
STM ,"Consultant Product Manager",Working on trusted identity in academic publishing.,,Jul 2023,
richard.northover.info,"Consultant Product Director",,,Apr 2022,
Elsevier,Product Director,,,Sep 2015,Apr 2022
BBC,"Service Owner, BBC iD",,"London, United Kingdom",May 2014,Sep 2015
BBC,Product Manager,,,Jul 2011,May 2014
BBC,Principal Web Developer,,,May 2008,Jul 2011
BBC,Senior Client Side Developer,,,Oct 2007,May 2008
BBC,Client Side Developer,,,Feb 2006,Oct 2007
The University of Edinburgh,Web Content Developer,,,Jan 2005,Feb 2006
richard.northover.info,Freelance Web Designer/Developer,,,Jan 2000,Jan 2005
richard.northover.info,Freelance Science Journalist,,,Jan 1998,Jan 2001
