Castaway,Job,URL,Book,Date first broadcast,Artist 1,Song 1,Artist 2,Song 2,Artist 3,Song 3,Artist 4,Song 4,Artist 5,Song 5,Artist 6,Song 6,Artist 7,Song 7,Artist 8,Song 8
Adele,singer and songwriter,https://www.bbc.co.uk/programmes/m0018wxk,The Sun and Her Flowers by Rupi Kaur,2022-07-03,The B‐52s,Roam,Gabrielle,Dreams,Shola Ama,Need Somebody,Nina Simone,He Needs Me,Destiny’s Child,"Bills, Bills, Bills",Etta James,I'd Rather Go Blind,Yeah Yeah Yeahs,Maps,Donny Hathaway,For All We Know
Adrian Edmondson,actor,https://www.bbc.co.uk/programmes/m001qlz2,Waiting for Godot by Samuel Beckett,2023-09-17,Petula Clark,Downtown,Michael Flanders and Donald Swann,A Song of the Weather,The Archies,"Sugar, Sugar",The Selecter,On My Radio,Vin Bruce,Jole Blon,Mott the Hoople,Saturday Gigs,The Bonzo Dog Band,I'm Bored,The Chicks,Wide Open Spaces
Alexei Sayle,comedian,https://www.bbc.co.uk/programmes/m000wc05,The Sword of Honour Trilogy by Evelyn Waugh,2021-05-23,Carlos Gardel,Volver,Joan Baez,Joe Hill,Yuli Khayt,Aviator’s March,Kurt Weill,Seeräuber Jenny (from The Threepenny Opera),Janis Joplin,Me and Bobby McGee,Robert Wyatt,Shipbuilding,Ice Cube,It Was a Good Day,Dizzee Rascal,Bonkers
Baz Luhrmann,director,https://www.bbc.co.uk/programmes/m001flzq,War and Peace by Leo Tolstoy,2022-11-27,David Bowie,Changes,John Farnham,One,Herb Alpert & the Tijuana Brass,Spanish Flea,Elvis Presley,Suspicious Minds,Luciano Pavarotti,"Puccini: La Bohème / Act 1 - ""Che gelida manina""",Massive Attack,Unfinished Sympathy,"Christina Aguilera, Lil' Kim, MYA, Pink",Lady Marmalade,"JAY Z, Kanye West, Frank Ocean, The-Dream",No Church in the Wild
Bill Gates,,https://www.bbc.co.uk/programmes/b06z1zdt,The Better Angels of Our Nature by Steven Pinker,2016-01-31,Queen & David Bowie,Under Pressure ,Willie Nelson,Blue Skies,Ed Sheeran,Sing,The Jimi Hendrix Experience,Are You Experienced?,Mary J. Blige & U2,One,The Beatles,Two of Us,Rodgers & Hammerstein,How Can Love Survive?,"Lin-Manuel Miranda, Anthony Ramos, Daveed Diggs, Okieriete Onaodowan, Leslie Odom Jr",My Shot
Bono,singer and songwriter,https://www.bbc.co.uk/programmes/m0018njm,Ulysses by James Joyce,2022-06-26,Peter Frampton,Show Me The Way,Bob Dylan,Every Grain of Sand,Emeli Sande and The Fron Choir,Abide with Me,Noel Gallagher's High Flying Birds,"Dead In The Water (Live At RTÉ 2FM Studios, Dublin)",Inhaler,Ice Cream Sundae,Angélique Kidjo,Agolo,National Philharmonic Orchestra; conducted by Richard Bonynge,Verdi: La traviata Prelude to Act 1,Simple Minds,Someone Somewhere In Summertime
Bruce Springsteen,,https://www.bbc.co.uk/programmes/b0855znp,Woody Guthrie: A Life by Joe Klein,2016-12-18,Elvis Presley,Hound Dog,The Beatles,I Want to Hold Your Hand,The Rolling Stones,It's All Over Now,Van Morrison,Madame George,Marvin Gaye,Whats Going On,James Brown,Out of Sight,Bob Dylan,Like a Rolling Stone,Four Tops,Baby I Need Your Loving
Caitlin Moran,,https://www.bbc.co.uk/programmes/b08b3k40,,2017-01-22,The Beatles,Twist and Shout,Kate Bush,Wuthering Heights,Flowered Up,Weekender,Crowded House,Not The Girl You Think You Are,Madonna,Vogue,David Bowie,Rock 'n' Roll Suicide,Pulp,Common People,Amerie,Gotta Work
Charlie Brooker,,https://www.bbc.co.uk/programmes/b09kx840,Galapagos by Kurt Vonnegut,2018-01-07,The Beatles,Tomorrow Never Knows,Eric Thompson,Florence's Sad Song,Jonathan Dunn,Robocop,Pixies,Debaser,Richie Warburton,The Scoops,Irma Thomas,Anyone Who Knows What Love Is (Will Understand),Radiohead,Present Tense,Denim,The New Potatoes
Christopher Nolan,,https://www.bbc.co.uk/programmes/b09rwygm,The Selected Fictions of Jorge Luis Borges,2018-02-18,Hans Zimmer,Journey to the Line,Radiohead,Paranoid Android,Franz Schubert,"Fantasia for Four Hands in F minor, D. 940 (Op. 103)",Vangelis,Five Circles,David Bowie,Loving The Alien,David Dundas,Marwood Walks,John Barry,Ski Chase,Philip Glass,Prophecies
Cillian Murphy,actor,https://www.bbc.co.uk/programmes/m001w72b,Samuel Beckett: The Complete Dramatic Works,2024-02-11,Paul Simon,The Boy in the Bubble,Séamus Ennis,The Wandering Minstrel,The Frank and Walters,Walter's Trip,U2,Bullet The Blue Sky,Queen,Somebody To Love,Radiohead,Everything In Its Right Place,The Beatles,We Can Work It Out,Lisa O'Neill,If I was a Painter
Dame Esther Rantzen,broadcaster and campaigner,https://www.bbc.co.uk/programmes/m0003637,Poem for the Day with a Foreword by Wendy Cope,2019-03-10,Édith Piaf,La vie en rose,Nina Simone,Feeling Good,Ella Fitzgerald,Blue Moon,Frank Sinatra,September Song,Itzhak Perlman,Theme from Schindler's List,Peter Auty,Walking in the Air,Pharrell Williams,Happy,Edward Elgar,"Chanson de matin op. 15, No. 2"
Daniel Radcliffe,actor,https://www.bbc.co.uk/programmes/m000gc48,,2020-03-15,Morecambe & Wise,Bring Me Sunshine,Tom Lehrer,We Will All Go Together When We Go,Pixies,Where Is My Mind?,Grandaddy,"He's Simple, He's Dumb, He's The Pilot",The Hold Steady,Killer Parties,Nick Cave & the Bad Seeds,Into My Arms,Joanna Newsom,Emily,Yo‐Yo Ma,Attaboy
